date,resting_hr_bpm,hrv_ms,avg_hr_bpm,min_hr_bpm,max_hr_bpm,deep_sleep_hrs,rem_sleep_hrs,core_sleep_hrs,awake_hrs,total_sleep_hrs,steps,vo2max,active_calories_kcal,workout_activity,workout_duration_min,workout_avg_hr_bpm,workout_peak_hr_bpm,workout_min_hr_bpm
2026-06-07,67,45,109,80,197,0.81,2.37,3.71,0.38,7.3,10244,27.7,516,Cycling,37,146,166,130
2026-06-08,66,54,118,91,154,0.67,2.09,3.69,0.14,6.6,9633,28.0,802,Yoga,15,116,148,103
2026-06-09,63,46,113,83,151,0.7,1.78,4.79,0.25,7.5,2000,28.1,723,,,,,
2026-06-10,68,49,106,86,177,1.42,1.84,4.46,0.35,8.1,9886,28.0,469,StairClimbing,38,159,197,145
2026-06-11,65,50,110,89,158,0.88,1.33,4.37,0.06,6.6,5221,28.0,681,,,,,
2026-06-12,65,55,108,83,131,0.86,1.45,3.5,0.17,6.0,6469,28.0,597,,,,,
2026-06-13,66,59,105,71,162,1.4,1.8,5.14,0.11,8.4,9535,28.2,365,Hiking,34,164,201,152
2026-06-14,64,59,114,88,175,1.58,1.89,4.2,0.32,8.0,11244,28.0,559,Walking,84,140,162,126
2026-06-15,63,45,112,82,161,0.57,2.21,4.89,0.06,7.7,12179,27.9,297,Hiking,51,162,177,139
2026-06-16,59,53,114,83,159,0.63,1.43,4.48,0.39,6.9,5567,27.8,493,,,,,
2026-06-17,59,51,104,88,136,0.66,1.34,4.27,0.08,6.3,10568,28.0,214,Walking,16,141,184,127
2026-06-18,61,50,110,78,181,0.56,1.94,4.72,0.19,7.4,12482,27.9,211,Walking,72,141,179,117
2026-06-19,58,52,111,92,200,1.34,2.32,4.51,0.13,8.3,7983,28.0,417,,,,,
2026-06-20,61,54,105,85,128,1.31,2.25,5.18,0.37,9.1,15218,28.3,109,,,,,
2026-06-21,62,53,114,97,169,0.63,1.58,4.35,0.36,6.9,10234,27.9,186,HighIntensityIntervalTraining,76,142,162,123
2026-06-22,62,65,107,77,169,0.92,1.62,4.19,0.06,6.8,13931,28.5,209,Walking,58,127,170,101
2026-06-23,58,58,111,96,160,1.11,1.37,4.39,0.36,7.2,13154,27.9,376,Hiking,98,152,188,138
2026-06-24,58,65,105,82,163,1.3,1.97,5.1,0.37,8.7,12256,28.1,319,Walking,20,139,165,125
2026-06-25,58,66,112,86,187,0.67,2.02,3.85,0.34,6.9,12486,28.0,127,FunctionalStrengthTraining,92,142,174,131
2026-06-26,59,55,112,86,163,0.92,2.39,4.57,0.17,8.1,11689,28.0,172,FunctionalStrengthTraining,31,154,171,128
2026-06-27,61,68,111,95,144,1.48,1.44,4.76,0.3,8.0,17079,28.2,368,Walking,38,134,171,122
2026-06-28,58,66,113,81,155,0.71,2.16,3.96,0.1,6.9,16454,28.0,403,Walking,74,137,164,120
2026-06-29,60,55,102,68,168,1.03,2.15,4.82,0.19,8.2,16814,28.3,355,,,,,
2026-06-30,58,55,102,80,188,1.35,1.53,3.65,0.24,6.8,12087,28.1,407,,,,,
2026-07-01,58,58,105,82,183,1.54,1.6,3.77,0.33,7.2,12473,28.6,424,FunctionalStrengthTraining,56,137,157,118
2026-07-02,58,66,105,70,149,1.4,1.81,3.57,0.26,7.0,17581,28.1,575,Cycling,91,140,168,114
2026-07-03,58,57,102,68,129,1.24,1.51,4.53,0.12,7.4,15168,28.3,429,,,,,
2026-07-04,59,58,109,87,142,0.98,1.61,4.78,0.37,7.7,15450,28.6,697,,,,,
2026-07-05,60,60,112,95,197,1.24,1.91,4.32,0.27,7.7,11902,28.4,439,Walking,40,126,164,105
2026-07-06,58,59,102,75,135,0.81,1.6,3.57,0.29,6.3,6647,28.5,756,,,,,
2026-07-07,58,66,110,77,165,0.75,1.69,3.93,0.18,6.5,12682,28.3,687,Walking,16,127,151,107
2026-07-08,58,65,102,73,127,0.93,2.31,4.98,0.22,8.4,7205,28.3,749,Walking,79,131,151,103
2026-07-09,61,59,102,68,188,0.8,1.89,4.79,0.23,7.7,4496,28.5,739,Hiking,70,148,181,128
2026-07-10,58,65,106,75,155,0.86,2.12,4.85,0.22,8.1,11450,28.7,591,Walking,57,128,152,101
2026-07-11,61,55,113,87,181,1.37,1.44,3.97,0.21,7.0,5838,28.7,524,Hiking,65,159,192,144
2026-07-12,62,55,106,74,152,0.96,2.21,3.73,0.31,7.2,11031,28.4,463,Hiking,25,158,196,144
2026-07-13,58,64,105,79,151,1.29,2.34,3.89,0.18,7.7,6387,28.6,450,Cycling,69,140,177,118
2026-07-14,63,54,112,79,178,1.46,1.93,4.81,0.18,8.4,2955,28.8,491,,,,,
2026-07-15,64,60,106,78,156,1.58,1.46,4.11,0.37,7.5,6726,28.7,584,,,,,
2026-07-16,60,49,113,95,198,1.05,2.1,4.55,0.35,8.1,2143,28.4,530,,,,,
2026-07-17,60,49,110,82,173,1.45,2.14,4.23,0.06,7.9,6790,28.7,253,,,,,
2026-07-18,59,62,115,99,158,0.71,2.01,4.76,0.32,7.8,8153,28.5,401,Cycling,46,152,172,127
2026-07-19,66,53,110,93,145,1.57,1.66,5.02,0.12,8.4,6640,28.5,431,,,,,
2026-07-20,60,52,113,79,138,1.2,2.03,4.26,0.38,7.9,11398,28.7,444,Walking,62,123,145,101
2026-07-21,64,55,112,84,183,0.71,2.08,4.94,0.3,8.0,4485,29.0,414,,,,,
2026-07-22,66,48,115,91,138,1.4,1.33,3.99,0.3,7.0,11819,28.7,338,,,,,
2026-07-23,62,43,105,85,188,1.46,1.99,4.17,0.17,7.8,5306,28.5,184,,,,,
2026-07-24,65,56,108,92,176,1.3,2.26,4.54,0.23,8.3,11717,28.6,140,,,,,
2026-07-25,61,42,112,95,173,1.16,1.43,3.55,0.3,6.4,8418,28.8,146,StairClimbing,56,160,191,132
2026-07-26,68,54,111,82,194,0.94,2.1,4.77,0.1,7.9,7035,28.9,90,Walking,33,135,169,117
2026-07-27,69,43,115,88,196,0.77,1.33,4.25,0.31,6.7,16447,28.7,385,Walking,29,123,161,110
2026-07-28,69,48,113,95,149,0.73,1.79,4.15,0.28,7.0,16773,28.8,147,StairClimbing,28,158,197,142
